name,run,time,bytes_recv,bytes_sent,packets_recv,packets_sent,errin,errout,dropin,dropout,workers
unweighted-esgfva,0,29645.882411956787,490762181529,3694986888,67635067,50074292,0,0,0,0,2
unweighted-esgfva,1,28132.95780158043,490760666703,3719530305,67617921,50207138,0,0,0,0,2
unweighted-esgfva,2,32270.46541571617,490809048970,3638621761,67670526,50230053,0,0,0,0,2
unweighted-esgfva,3,30234.227514505386,490747388853,3677982329,67450262,50209949,0,0,0,0,2
unweighted-esgfva,4,28924.20783162117,490761247463,3781761194,67576755,50284242,0,0,0,0,2
unweighted-esgfva,0,14699.523438215256,490874363839,3735357821,69669633,51768016,0,0,0,0,4
unweighted-esgfva,1,14778.989636659622,490876439306,3695151304,69834824,51781288,0,0,0,0,4
unweighted-esgfva,2,14631.790963888168,490891186648,3697440574,70066210,51937799,0,0,0,0,4
unweighted-esgfva,3,15370.840292215347,490868952882,3687642917,69714531,51673999,0,0,0,0,4
unweighted-esgfva,4,17388.01988887787,490882804486,3719688004,69887946,51822086,0,0,0,0,4
unweighted-esgfva,0,11178.598136425018,491683075664,4128165424,82114114,58909449,0,0,0,0,8
unweighted-esgfva,1,11751.730274438858,491618383137,4096721464,81129945,58353400,0,0,0,0,8
unweighted-esgfva,2,11074.54124212265,491684084792,4126381993,82128950,58902961,0,0,0,0,8
unweighted-esgfva,3,10717.657674312592,491824169279,4196542455,84264046,60008766,0,0,0,0,8
unweighted-esgfva,4,10842.037130832672,491828769781,4205148398,84323515,60114087,0,0,0,0,8
