name,run,time,bytes_recv,bytes_sent,packets_recv,packets_sent,errin,errout,dropin,dropout,workers
unweighted-pangeo,0,9497.23211812973,289655882317,1406571228,33714632,19699960,0,0,0,0,2
unweighted-pangeo,1,9280.900523424149,289653313581,1414336420,33664583,19762227,0,0,0,0,2
unweighted-pangeo,2,8921.282630681992,289694279797,1415696541,34306838,19868246,0,0,0,0,2
unweighted-pangeo,3,8836.974324464798,289760220471,1424983210,35316384,20061834,0,0,0,0,2
unweighted-pangeo,4,8822.605386734009,289757574599,1437562325,35246300,20245915,0,0,0,0,2
unweighted-pangeo,0,6153.17511343956,289717912229,1602021662,34740473,23047746,0,0,0,0,4
unweighted-pangeo,1,6163.983409643173,289725702020,1602653608,34877137,23306158,0,0,0,0,4
unweighted-pangeo,2,6218.408852815628,289717722716,1597395179,34762811,23240389,0,0,0,0,4
unweighted-pangeo,3,6103.322422742844,289711841350,1583142064,34656033,22815007,0,0,0,0,4
unweighted-pangeo,4,7704.082533597946,289717605998,1576922432,34854851,22896103,0,0,0,0,4
unweighted-pangeo,0,5317.960274934769,290017386442,1910824769,39451355,27013905,0,0,0,0,8
unweighted-pangeo,1,5246.874990463257,290013694170,1918731327,39392693,27147670,0,0,0,0,8
unweighted-pangeo,2,5254.3187074661255,290019554965,1914737723,39483097,27061621,0,0,0,0,8
unweighted-pangeo,3,5253.429677248001,290030761635,1914240298,39653504,27071015,0,0,0,0,8
unweighted-pangeo,4,5187.927134513855,290044813701,1912334286,39868508,27061293,0,0,0,0,8
