name,run,time,bytes_recv,bytes_sent,packets_recv,packets_sent,errin,errout,dropin,dropout,workers
weighted-esgfva,0,27902.383061647415,497121095372,3639014994,71693700,51580582,0,0,0,0,2
weighted-esgfva,1,26747.78172636032,490892447388,3449039935,69860420,50412025,0,0,0,0,2
weighted-esgfva,2,29293.93047451973,490892967320,3468524917,69631069,50103784,0,0,0,0,2
weighted-esgfva,3,28572.387765169144,490910770472,3502682748,69971643,50256697,0,0,0,0,2
weighted-esgfva,4,28085.632798671722,490882927946,3427342799,69698515,50081082,0,0,0,0,2
weighted-esgfva,0,19320.580968618393,490907220031,3748522742,69966762,51902847,0,0,0,0,4
weighted-esgfva,1,18395.9670753479,490887396494,3732934936,69645291,51818712,0,0,0,0,4
weighted-esgfva,2,20111.69873690605,490891821099,3682897523,69752516,51841699,0,0,0,0,4
weighted-esgfva,3,16907.48978281021,491059928439,3586000111,72467305,52463463,0,0,0,0,4
weighted-esgfva,4,16131.959986925125,491052905878,3588428495,72418096,52500146,0,0,0,0,4
weighted-esgfva,5,16368.02806019783,491083420656,3598912281,72776611,52666135,0,0,0,0,4
weighted-esgfva,6,19197.340002536774,491040675786,3562759394,72096700,52130668,0,0,0,0,4
weighted-esgfva,0,13888.914273023605,491704658507,3984900347,82303137,58434567,0,0,0,0,8
weighted-esgfva,1,12705.365151166916,491929731972,4140140598,85624660,60210447,0,0,0,0,8
weighted-esgfva,2,12425.406354904175,498595514022,4301902845,87373898,61399494,0,0,0,0,8
weighted-esgfva,3,13211.614114761353,491757923675,4123105522,82854089,58611747,0,0,0,0,8
weighted-esgfva,4,15193.195884466171,491569690807,3945284996,80063923,56938579,0,0,0,0,8
