name,run,time,bytes_recv,bytes_sent,packets_recv,packets_sent,errin,errout,dropin,dropout,workers
weighted-pangeo,0,18556.335790634155,289833973988,1298353987,35884934,19395233,0,0,0,0,2
weighted-pangeo,1,18389.748448610306,289867309884,1405085839,36374552,19567699,0,0,0,0,2
weighted-pangeo,2,18307.173366069794,289842373868,1417894240,36213640,19548473,0,0,0,0,2
weighted-pangeo,3,20318.7715883255,289836708387,1295786684,36212012,19395329,0,0,0,0,2
weighted-pangeo,4,18317.703056573868,289842283727,1333470869,36122891,19830369,0,0,0,0,2
weighted-pangeo,0,12718.509912729263,289811625151,1579424198,35680533,23106433,0,0,0,0,4
weighted-pangeo,1,12824.953562498093,289817925500,1570027069,35764735,22853075,0,0,0,0,4
weighted-pangeo,2,12736.203990221024,289824999418,1573748803,35858564,22837132,0,0,0,0,4
weighted-pangeo,3,12766.014277935028,289838697569,1570209356,36054938,22925478,0,0,0,0,4
weighted-pangeo,4,13251.530681610107,289843857165,1557219685,36122357,22780584,0,0,0,0,4
weighted-pangeo,0,11615.721529006958,290027408990,1881548473,39049346,26784556,0,0,0,0,8
weighted-pangeo,1,11625.146065711975,290042611831,1923610024,39264170,26872469,0,0,0,0,8
weighted-pangeo,2,11606.745888710022,290038621088,1901756668,39522860,26957842,0,0,0,0,8
weighted-pangeo,3,13790.552989721298,290060218412,1900693366,39547698,26963855,0,0,0,0,8
weighted-pangeo,4,11406.750254869461,290039996532,1900348263,39249485,26965140,0,0,0,0,8
