project,model,experiment,member,version,variable
CMIP6,ACCESS-CM2,historical,r1i1p1f1,v20191108,pr
CMIP6,ACCESS-CM2,ssp126,r1i1p1f1,v20191108,pr
CMIP6,ACCESS-CM2,ssp245,r1i1p1f1,v20191108,pr
CMIP6,ACCESS-CM2,ssp370,r1i1p1f1,v20191108,pr
CMIP6,ACCESS-CM2,ssp585,r1i1p1f1,v20191108,pr
CMIP6,ACCESS-ESM1-5,historical,r1i1p1f1,v20191115,pr
CMIP6,ACCESS-ESM1-5,ssp126,r1i1p1f1,v20191115,pr
CMIP6,ACCESS-ESM1-5,ssp245,r1i1p1f1,v20191115,pr
CMIP6,ACCESS-ESM1-5,ssp370,r1i1p1f1,v20191115,pr
CMIP6,ACCESS-ESM1-5,ssp585,r1i1p1f1,v20191115,pr
CMIP6,AWI-CM-1-1-MR,historical,r1i1p1f1,FALSE,pr
CMIP6,AWI-CM-1-1-MR,ssp126,r1i1p1f1,v20190529,pr
CMIP6,AWI-CM-1-1-MR,ssp245,r1i1p1f1,v20190529,pr
CMIP6,AWI-CM-1-1-MR,ssp370,r1i1p1f1,v20190529,pr
CMIP6,AWI-CM-1-1-MR,ssp585,r1i1p1f1,v20190529,pr
CMIP6,BCC-CSM2-MR,historical,r1i1p1f1,v20181126,pr
CMIP6,BCC-CSM2-MR,ssp126,r1i1p1f1,v20190315,pr
CMIP6,BCC-CSM2-MR,ssp245,r1i1p1f1,v20190318,pr
CMIP6,BCC-CSM2-MR,ssp370,r1i1p1f1,v20190318,pr
CMIP6,BCC-CSM2-MR,ssp585,r1i1p1f1,v20190318,pr
CMIP6,CAMS-CSM1-0,historical,r2i1p1f1,v20200716,pr
CMIP6,CAMS-CSM1-0,ssp126,r2i1p1f1,v20191106,pr
CMIP6,CAMS-CSM1-0,ssp245,r2i1p1f1,v20200720,pr
CMIP6,CAMS-CSM1-0,ssp370,r2i1p1f1,v20200720,pr
CMIP6,CAMS-CSM1-0,ssp585,r2i1p1f1,v20191106,pr
CMIP6,CanESM5,historical,r1i1p1f1,v20190429,pr
CMIP6,CanESM5,ssp126,r1i1p1f1,v20190429,pr
CMIP6,CanESM5,ssp245,r1i1p1f1,v20190429,pr
